STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00253365,"GOTHENBURG, NE US",1961/01/01,0,27,17,17
USC00253365,"GOTHENBURG, NE US",1961/01/02,0,34,4,20
USC00253365,"GOTHENBURG, NE US",1961/01/03,0,40,7,28
USC00253365,"GOTHENBURG, NE US",1961/01/04,0,44,8,32
USC00253365,"GOTHENBURG, NE US",1961/01/05,0,48,15,30
USC00253365,"GOTHENBURG, NE US",1961/01/06,0,51,19,34
USC00253365,"GOTHENBURG, NE US",1961/01/07,0,42,22,30
USC00253365,"GOTHENBURG, NE US",1961/01/08,0,39,18,34
USC00253365,"GOTHENBURG, NE US",1961/01/09,0,54,19,36
USC00253365,"GOTHENBURG, NE US",1961/01/10,0,51,21,33
USC00253365,"GOTHENBURG, NE US",1961/01/11,0,53,20,35
USC00253365,"GOTHENBURG, NE US",1961/01/12,0,58,20,35
USC00253365,"GOTHENBURG, NE US",1961/01/13,0,47,23,34
USC00253365,"GOTHENBURG, NE US",1961/01/14,0,47,23,35
USC00253365,"GOTHENBURG, NE US",1961/01/15,0,52,23,35
USC00253365,"GOTHENBURG, NE US",1961/01/16,0,60,23,37
USC00253365,"GOTHENBURG, NE US",1961/01/17,0,56,27,42
USC00253365,"GOTHENBURG, NE US",1961/01/18,0,42,29,31
USC00253365,"GOTHENBURG, NE US",1961/01/19,0,39,15,36
USC00253365,"GOTHENBURG, NE US",1961/01/20,0,36,8,8
USC00253365,"GOTHENBURG, NE US",1961/01/21,0,36,2,24
USC00253365,"GOTHENBURG, NE US",1961/01/22,0,44,11,27
USC00253365,"GOTHENBURG, NE US",1961/01/23,0,61,13,38
USC00253365,"GOTHENBURG, NE US",1961/01/24,0,38,-5,2
USC00253365,"GOTHENBURG, NE US",1961/01/25,0,22,-3,14
USC00253365,"GOTHENBURG, NE US",1961/01/26,0,15,0,8
USC00253365,"GOTHENBURG, NE US",1961/01/27,0,30,-7,22
USC00253365,"GOTHENBURG, NE US",1961/01/28,0,30,7,19
USC00253365,"GOTHENBURG, NE US",1961/01/29,0,43,9,27
USC00253365,"GOTHENBURG, NE US",1961/01/30,0,58,11,38
USC00253365,"GOTHENBURG, NE US",1961/01/31,0,63,23,38
USC00253365,"GOTHENBURG, NE US",1961/02/01,0,47,21,29
USC00253365,"GOTHENBURG, NE US",1961/02/02,0,29,13,13
USC00253365,"GOTHENBURG, NE US",1961/02/03,0,27,4,23
USC00253365,"GOTHENBURG, NE US",1961/02/04,0,30,16,24
USC00253365,"GOTHENBURG, NE US",1961/02/05,0.06,30,20,27
USC00253365,"GOTHENBURG, NE US",1961/02/06,0,29,22,25
USC00253365,"GOTHENBURG, NE US",1961/02/07,0,32,21,24
USC00253365,"GOTHENBURG, NE US",1961/02/08,0,44,17,31
USC00253365,"GOTHENBURG, NE US",1961/02/09,0,58,19,40
USC00253365,"GOTHENBURG, NE US",1961/02/10,0,67,21,44
USC00253365,"GOTHENBURG, NE US",1961/02/11,0,72,31,50
USC00253365,"GOTHENBURG, NE US",1961/02/12,0,61,31,51
USC00253365,"GOTHENBURG, NE US",1961/02/13,0,55,28,39
USC00253365,"GOTHENBURG, NE US",1961/02/14,0,63,30,46
USC00253365,"GOTHENBURG, NE US",1961/02/15,0,59,22,49
USC00253365,"GOTHENBURG, NE US",1961/02/16,0,64,42,49
USC00253365,"GOTHENBURG, NE US",1961/02/17,0.01,49,13,13
USC00253365,"GOTHENBURG, NE US",1961/02/18,0.04,24,9,15
USC00253365,"GOTHENBURG, NE US",1961/02/19,0,51,6,38
USC00253365,"GOTHENBURG, NE US",1961/02/20,0,58,20,44
USC00253365,"GOTHENBURG, NE US",1961/02/21,0,63,20,45
USC00253365,"GOTHENBURG, NE US",1961/02/22,0,65,22,54
USC00253365,"GOTHENBURG, NE US",1961/02/23,0,54,31,33
USC00253365,"GOTHENBURG, NE US",1961/02/24,0,49,14,37
USC00253365,"GOTHENBURG, NE US",1961/02/25,0,69,19,56
USC00253365,"GOTHENBURG, NE US",1961/02/26,0,63,33,52
USC00253365,"GOTHENBURG, NE US",1961/02/27,0,52,18,40
USC00253365,"GOTHENBURG, NE US",1961/02/28,0,51,26,39
USC00253365,"GOTHENBURG, NE US",1961/03/01,0,59,16,52
USC00253365,"GOTHENBURG, NE US",1961/03/02,0,57,38,46
USC00253365,"GOTHENBURG, NE US",1961/03/03,0.11,46,32,32
USC00253365,"GOTHENBURG, NE US",1961/03/04,0.13,38,27,31
USC00253365,"GOTHENBURG, NE US",1961/03/05,0.36,31,27,27
USC00253365,"GOTHENBURG, NE US",1961/03/06,0.06,35,17,27
USC00253365,"GOTHENBURG, NE US",1961/03/07,0.2,29,24,25
USC00253365,"GOTHENBURG, NE US",1961/03/08,0,40,24,29
USC00253365,"GOTHENBURG, NE US",1961/03/09,0,49,11,40
USC00253365,"GOTHENBURG, NE US",1961/03/10,0,53,29,44
USC00253365,"GOTHENBURG, NE US",1961/03/11,0,62,33,49
USC00253365,"GOTHENBURG, NE US",1961/03/12,0.87,49,30,30
USC00253365,"GOTHENBURG, NE US",1961/03/13,0,55,22,42
USC00253365,"GOTHENBURG, NE US",1961/03/14,0,63,30,46
USC00253365,"GOTHENBURG, NE US",1961/03/15,0,52,35,42
USC00253365,"GOTHENBURG, NE US",1961/03/16,0,53,25,43
USC00253365,"GOTHENBURG, NE US",1961/03/17,0,53,28,43
USC00253365,"GOTHENBURG, NE US",1961/03/18,0.18,52,32,40
USC00253365,"GOTHENBURG, NE US",1961/03/19,0,46,34,38
USC00253365,"GOTHENBURG, NE US",1961/03/20,0,50,31,38
USC00253365,"GOTHENBURG, NE US",1961/03/21,0,53,31,43
USC00253365,"GOTHENBURG, NE US",1961/03/22,0,55,33,48
